Time,Rep01,Rep02,Rep03,Rep04,Rep05,Rep06,Rep07,Rep08,Rep09,Rep10
114,3.29458495,3.345139343,3.221754832,3.136696337,3.346505112,3.332907769,2.804932871,3.394861225,2.802732128,2.982859846
116,3.337061764,3.28581432,3.205679333,3.077980293,3.256134127,3.376752435,2.945275945,3.441407375,2.81832615,2.765100018
118,3.426101753,3.403936615,3.294547184,3.07635972,3.279827442,3.350390991,2.828651985,3.414927108,2.891429588,2.897604974
120,3.355726162,3.31265457,3.205869958,3.136942876,3.324647337,3.367490656,2.802230741,3.401471396,2.842202257,2.89599428
122,3.280419219,3.236776706,3.091311115,3.23218352,3.299681137,3.346103584,2.739035475,3.402724015,2.922344414,2.838489449
124,3.399698707,3.393696911,3.193528947,3.114675681,3.177468802,3.325633135,2.778690435,3.416454781,2.894975686,2.976751563
126,3.487159252,3.283524943,3.172333729,3.170774182,3.240176427,3.247512067,2.758582607,3.356591664,2.952590952,2.883004325
128,3.385993458,3.305638375,3.241855725,3.067126086,3.276821659,3.288548645,2.721055792,3.369172823,2.841820617,2.940211963
130,3.34837172,3.387987403,3.119659101,3.176163672,3.293446607,3.362261741,2.852608219,3.358652912,2.880247007,2.974078417
132,3.343966683,3.339503655,3.280323866,3.187571878,3.300035964,3.301881512,2.740962006,3.357369908,2.765448757,2.94151658
134,3.352406814,3.30189991,3.287421692,3.091236824,3.311165886,3.276527626,2.752796925,3.366759074,2.840295706,2.910028949
136,3.38527688,3.411115531,3.192465865,3.00356519,3.226827477,3.379417301,2.822105104,3.248002565,2.880530994,2.807263973
138,3.279371761,3.357775568,3.18847829,3.148187562,3.300941003,3.385906915,2.785928914,3.367565736,2.917791883,2.8751284
140,3.439590605,3.379618627,3.137181034,3.210489314,3.236589138,3.309187036,2.772808579,3.414541139,2.858908336,2.937241239
142,3.378476907,3.430594405,3.301601746,3.224229932,3.288558117,3.327567109,2.718011892,3.404027229,2.722983709,2.844457266
144,3.349738261,3.331325599,3.203600022,3.140023971,3.134161915,3.429208053,2.77260429,3.40744356,2.914544075,2.818754415
146,3.40164601,3.306957807,3.218489385,3.251570654,3.245886919,3.328882695,2.869730736,3.431338278,2.774976358,2.953656269
148,3.299912972,3.323703988,3.2791072,3.157059671,3.208878808,3.249595057,2.872707845,3.366433789,2.878640664,2.827030651
150,3.264499012,3.253982548,3.177910975,3.137170878,3.303861817,3.32339307,2.858983985,3.354620899,2.893043793,2.800346437
152,3.358535799,3.351416167,3.12605237,3.166534083,3.329606002,3.367806062,2.785610632,3.337061993,2.816109874,2.904887705
154,3.191089931,3.393081811,3.306005934,3.013374068,3.359036887,3.373822296,2.805964612,3.443195403,2.875441525,2.870759232
156,3.296017275,3.300194518,3.339427935,3.184249616,3.326647665,3.36326593,2.822921958,3.406270124,2.861924168,2.892802624
158,3.284746311,3.351898283,3.16814041,3.09076939,3.295274132,3.292925933,2.748113274,3.432700675,2.888738031,2.859793777
160,3.413867902,3.387303355,3.294804586,3.136145713,3.224716531,3.348890721,2.857204817,3.353114293,2.912727727,2.860150993
162,3.407844517,3.346847212,3.282460824,3.052791428,3.147468855,3.312818458,2.850505288,3.484718785,2.764912735,2.854488504
164,3.325734731,3.392539079,3.157588495,3.135144287,3.250624962,3.419236099,2.856680417,3.364711731,2.815529533,2.909588575
166,3.334618423,3.44687232,3.107204345,3.157038823,3.245685548,3.249328737,2.782017917,3.400510703,2.878292142,2.892074461
168,3.32493754,3.388550684,3.324907794,3.099323329,3.227606454,3.383644799,2.745611763,3.425790036,2.869463878,2.873178283
170,3.339719299,3.297802774,3.188604706,3.093447663,3.402801361,3.319270951,2.838572611,3.267427986,2.789388836,2.823272566
172,3.30158129,3.373153877,3.201516037,3.136379326,3.300254683,3.353480509,2.844154392,3.436202008,2.845358449,2.832478047
174,3.356740853,3.349104106,3.169329875,3.277451817,3.288715402,3.379624116,2.74592256,3.378596599,2.812830969,2.839175671
176,3.360532901,3.351872878,3.139451967,3.115044975,3.243843847,3.393931096,2.867992802,3.329178566,2.863122055,2.846391311
178,3.311084364,3.281369217,3.169348852,3.215734199,3.220360765,3.379996767,2.848301682,3.375745686,2.815821968,2.824124011
180,3.34086834,3.376902471,3.258564298,3.177895664,3.329395415,3.296000232,2.821799278,3.394338285,2.857012958,2.806160022
182,3.355934082,3.374931206,3.314435856,3.154384864,3.29306191,3.323986793,2.809763758,3.37330907,2.771175627,2.842716675
184,3.281143127,3.267152148,3.204495769,3.164387123,3.236964279,3.335337708,2.772032936,3.373718629,2.894565166,2.852186849
186,3.342537311,3.307378391,3.153810235,3.102934184,3.301274145,3.352651934,2.793256538,3.373255433,2.988170706,3.048230168
188,3.266265434,3.311803846,3.17592862,3.135940212,3.287630775,3.372288445,2.824884346,3.312636013,2.838102083,2.884713363
190,3.427719453,3.34154175,3.224821511,3.200100101,3.314344254,3.318200258,2.684711524,3.321059459,2.84703526,2.873760578
192,3.266893976,3.312127421,3.214841164,3.146754259,3.351536214,3.266632691,2.819432479,3.284036512,2.88637327,2.986504397
194,3.299859304,3.327685578,3.136346733,3.101705377,3.369583001,3.370261347,2.717416484,3.379677907,2.792364963,2.944126815
196,3.250213944,3.249542756,3.239982672,3.155917943,3.271966564,3.289012155,2.823952006,3.357366279,2.862832345,2.857880314
198,3.360320155,3.40455142,3.089240045,3.134300267,3.295895981,3.340667723,2.723212689,3.441895624,2.868746265,2.914498946
200,3.312453054,3.336417426,3.141388723,3.120630069,3.2452716,3.332475008,2.759332984,3.280750544,2.916883294,2.832216476
202,3.324820199,3.379489003,3.178772556,3.146023379,3.32396174,3.33768236,2.721736957,3.361404668,2.847083317,2.99354689
204,3.447838103,3.344812607,3.259310841,3.113608243,3.136268144,3.403000914,2.871283668,3.355573032,2.862726048,2.989640769
206,3.314726915,3.265688969,3.246004855,3.230454515,3.318232828,3.369019991,2.779624536,3.364383992,2.922175805,2.927431526
